pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
5199,"2017-03-31 00:00:00",98938,"2017-03-31 00:00:00",180128,1,1,Pesos
5200,"2017-06-30 00:00:00",98938,"2017-07-03 00:00:00",180128,1,1,Pesos
5201,"2017-09-29 00:00:00",98938,"2017-09-29 00:00:00",209138,1,1,Pesos
5202,"2017-12-29 00:00:00",98938,"2017-12-20 00:00:00",209138,1,1,Pesos
6262,"2017-03-09 00:00:00",51554,"2017-03-09 00:00:00",51554,1,1,Pesos
6752,"2018-03-31 00:00:00",98938,"2018-03-23 00:00:00",239833,1,1,Pesos
6753,"2018-06-30 00:00:00",98938,"2018-07-05 00:00:00",239833,1,1,Pesos
6754,"2018-09-29 00:00:00",98938,"2018-09-28 00:00:00",239833,1,1,Pesos
6755,"2018-10-31 00:00:00",32984,"2018-10-29 00:00:00",79945,1,1,Pesos
7290,"2017-06-30 00:00:00",126900,"2017-06-30 00:00:00",0,1,1,Pesos
7291,"2017-07-31 00:00:00",297000,"2017-07-31 00:00:00",0,1,1,Pesos
7292,"2017-08-31 00:00:00",413100,"2017-08-31 00:00:00",0,1,1,Pesos
7293,"2017-09-30 00:00:00",27000,"2017-09-30 00:00:00",418500,1,1,Pesos
7294,"2017-10-31 00:00:00",27000,"2017-10-31 00:00:00",0,1,1,Pesos
7295,"2017-11-30 00:00:00",27000,"2017-11-30 00:00:00",0,1,1,Pesos
7296,"2017-12-30 00:00:00",1107000,"2017-12-30 00:00:00",1107000,1,1,Pesos
5254,"2017-11-30 00:00:00",41061,"2017-11-30 00:00:00",41061,1,1,Pesos
5255,"2017-01-30 00:00:00",0,"2017-01-30 00:00:00",0,1,1,Pesos
5256,"2017-02-28 00:00:00",2500,"2017-02-28 00:00:00",2500,NULL,1,Pesos
5257,"2017-03-31 00:00:00",2500,"2017-03-31 00:00:00",2500,NULL,1,Pesos
5258,"2017-04-28 00:00:00",2500,"2017-04-28 00:00:00",2500,NULL,1,Pesos
5259,"2017-05-31 00:00:00",2500,"2017-05-31 00:00:00",2500,NULL,1,Pesos
